時代,元号,よみがな,開始日付,終了日付
飛鳥,大化,たいか,645,649
飛鳥,白雉,はくち,650,654
飛鳥,朱鳥,しゅちょう,686,
飛鳥,大宝,たいほう,701,703
飛鳥,慶雲,けいうん,704,707
奈良,和銅,わどう,708,714
奈良,霊亀,れいき,715,716
奈良,養老,ようろう,717,723
奈良,神亀,じんき,724,728
奈良,天平,てんぴょう,729,748
奈良,天平感宝,かんぽう,749,756
奈良,天平勝宝,しょうほう,749,756
奈良,天平宝字,ほうじ,757,764
奈良,天平神護,じんご,765,766
奈良,神護景雲,けいうん,767,769
奈良,宝亀,ほうき,770,780
奈良,天応,てんのう,781,
平安,延暦,えんりゃく,782,805
平安,大同,だいどう,806,809
平安,弘仁,こうにん,810,823
平安,天長,てんちょう,824,833
平安,承和,じょうわ,834,847
平安,嘉祥,かしょう,848,850
平安,仁寿,にんじゅ,851,853
平安,斉衡,さいこう,854,856
平安,天安,てんあん,857,858
平安,貞観,じょうがん,859,876
平安,元慶,がんぎょう,877,884
平安,仁和,にんな,885,888
平安,寛平,かんぴょう,889,897
平安,昌泰,しょうたい,898,900
平安,延喜,えんぎ,901,922
平安,延長,えんちょう,923,930
平安,承平,じょうへい,931,937
平安,天慶,てんぎょう,938,946
平安,天暦,てんりゃく,947,956
平安,天徳,てんとく,957,960
平安,応和,おうわ,961,963
平安,康保,こうほう,964,967
平安,安和,あんな,968,969
平安,天禄,てんろく,970,972
平安,天延,てんえん,973,975
平安,貞元,じょうげん,976,977
平安,天元,てんげん,978,982
平安,永観,えいかん,983,984
平安,寛和,かんな,984,986
平安,永延,えいえん,987,988
平安,永祚,えいそ,989,
平安,正暦,しょうりゃく,990,994
平安,長徳,ちょうとく,995,998
平安,長保,ちょうほ,999,1003
平安,寛弘,かんこう,1004,1011
平安,長和,ちょうわ,1012,1016
平安,寛仁,かんにん,1017,1020
平安,治安,じあん,1021,1023
平安,万寿,まんじゅ,1024,1027
平安,長元,ちょうげん,1028,1036
平安,長暦,ちょうりゃく,1037,1039
平安,長久,ちょうきゅう,1040,1043
平安,寛徳,かんとく,1044,1045
平安,永承,えいしょう,1046,1052
平安,天喜,てんぎ,1053,1057
平安,康平,こうへい,1058,1064
平安,治暦,じりゃく,1065,1068
平安,延久,えんきゅう,1069,1073
平安,承保,しょうほう,1074,1076
平安,承暦,しょうりゃく,1077,1080
平安,永保,えいほ,1081,1083
平安,応徳,おうとく,1084,1086
平安,寛治,かんじ,1087,1093
平安,嘉保,かほう,1094,1095
平安,永長,えいちょう,1096,
平安,承徳,しょうとく,1097,1098
平安,康和,こうわ,1099,1103
平安,長治,ちょうじ,1104,1105
平安,嘉承,かじょう,1106,1107
平安,天仁,てんにん,1108,1109
平安,天永,てんえい,1110,1112
平安,永久,えいきゅう,1113,1117
平安,元永,げんえい,1118,1119
平安,保安,ほうあん,1120,1123
平安,天治,てんじ,1124,1125
平安,大治,たいじ,1126,1130
平安,天承,てんしょう,1131,
平安,長承,ちょうしょう,1132,1134
平安,保延,ほうえん,1135,1140
平安,永治,えいじ,1141,
平安,康治,こうじ,1142,1143
平安,天養,てんよう,1144,
平安,久安,きゅうあん,1145,1150
平安,仁平,にんぴょう,1151,1153
平安,久寿,きゅうじゅ,1154,1155
平安,保元,ほうげん,1156,1158
平安,平治,へいじ,1159,
平安,永暦,えいりゃく,1160,
平安,応保,おうほ,1161,1162
平安,長寛,ちょうかん,1163,1164
平安,永万,えいまん,1165,
平安,仁安,にんあん,1166,1168
平安,嘉応,かおう,1169,1170
平安,承安,じょうあん,1171,1174
平安,安元,あんげん,1175,1176
平安,治承,じしょう,1177,1180
平安,養和,ようわ,1181,
鎌倉,寿永,じゅえい,,1184
鎌倉,元暦,げんりゃく,,
鎌倉,文治,ぶんじ,,1189
鎌倉,建久,けんきゅう,,1198
鎌倉,正治,しょうじ,,1200
鎌倉,建仁,けんにん,,1203
鎌倉,元久,げんきゅう,,1205
鎌倉,建永,けんえい,,
鎌倉,承元,しょうげん,,1210
鎌倉,建暦,けんりゃく,,1212
鎌倉,健保,けんぽ,,1218
鎌倉,承久,じょうきゅう,,1221
鎌倉,貞応,じょうおう,,1223
鎌倉,元仁,げんにん,,
鎌倉,嘉禄,かろく,,1226
鎌倉,安貞,あんてい,,1228
鎌倉,寛喜,かんぎ,,1231
鎌倉,貞永,じょうえい,,
鎌倉,天福,てんぷく,,
鎌倉,文暦,ぶんりゃく,,
鎌倉,嘉禎,かてい,,1237
鎌倉,暦仁,りゃくにん,,
鎌倉,延応,えんのう,,
鎌倉,仁治,にんじ,,1242
鎌倉,寛元,かんげん,,1246
鎌倉,宝治,ほうじ,,1248
鎌倉,建長,けんちょう,,1255
鎌倉,康元,こうげん,,
鎌倉,正嘉,しょうか,,1258
鎌倉,正元,しょうげん,,
鎌倉,文応,ぶんおう,,
鎌倉,弘長,こうちょう,,1263
鎌倉,文永,ぶんえい,,1274
鎌倉,建治,けんじ,,1277
鎌倉,弘安,こうあん,,1287
鎌倉,正応,しょうおう,,1292
鎌倉,永仁,えいにん,,1298
鎌倉,正安,しょうあん,,1301
鎌倉,乾元,けんげん,,
鎌倉,嘉元,かげん,,1305
鎌倉,徳治,とくじ,,1307
鎌倉,延慶,えんきょう,,1310
鎌倉,応長,おうちょう,,
鎌倉,正和,しょうわ,,1316
鎌倉,文保,ぶんぽ,,1318
鎌倉,元応,げんおう,,1320
鎌倉,元亨,げんこう,,1323
鎌倉,正中,しょうちゅう,,1325
鎌倉,嘉暦,かりゃく,,1328
鎌倉,元徳,げんとく,,1330
鎌倉,元弘,げんこう,,1333
南朝,元徳,げんとく,,1331
南朝,正慶,しょうきょう,,1333
南朝,建武,けんむ,,1337
南朝,暦応,りゃくおう,,1341
南朝,康永,こうえい,,1344
南朝,貞和,じょうわ,,1349
南朝,観応,かんのう,,1351
南朝,文和,ぶんな,,1355
南朝,延文,えんぶん,,1360
南朝,康安,こうあん,,
南朝,貞治,じょうじ,,1367
南朝,応安,おうあん,,1374
南朝,永和,えいわ,,1378
南朝,康暦,こうりゃく,,1380
南朝,永徳,えいとく,,1383
南朝,至徳,しとく,,1386
南朝,嘉慶,かきょう,,1388
南朝,康応,こうおう,,
室町,明徳,めいとく,,1393
室町,応永,おうえい,,
室町,永享,えいきょう,,1440
室町,嘉吉,かきつ,,1443
室町,文安,ぶんあん,,1448
室町,宝徳,ほうとく,,1451
室町,康正,こうしょう,,1456
室町,長禄,ちょうろく,,1459
室町,寛正,かんしょう,,1465
室町,文正,ぶんしょう,,
室町,応仁,おうにん,,1468
室町,文明,ぶんめい,,1486
室町,長享,ちょうきょう,,1488
室町,延徳,えんとく,,1491
室町,明応,めいおう,,1500
室町,文亀,ぶんき,,1503
室町,永正,えいしょう,,1520
室町,大永,たいえい,,1527
室町,享禄,きょうろく,,1531
室町,天文,てんぶん,,1554
室町,弘治,こうじ,,1557
室町,永禄,えいろく,,1569
室町,元亀,げんき,,1572
安土・桃山,天正,てんしょう,,1591
安土・桃山,文禄,ぶんろく,,1595
江戸,慶長,けいちょう,,1614
江戸,元和,げんな,,1623
江戸,寛永,かんえい,,1643
江戸,正保,しょうほ,,1647
江戸,慶安,けいあん,,1651
江戸,承応,じょうおう,,1654
江戸,明暦,めいれき,,1657
江戸,万治,まんじ,,1660
江戸,寛文,かんぶん,,1672
江戸,延宝,えんぽう,,1680
江戸,天和,てんな,,1683
江戸,貞享,じょうきょう,,1687
江戸,元禄,げんろく,,1703
江戸,宝永,ほうえい,,1710
江戸,正徳,しょうとく,,1715
江戸,享保,きょうほう,,1735
江戸,元文,げんぶん,,1740
江戸,寛保,かんぽう,,1743
江戸,延享,えんきょう,,1747
江戸,寛延,かんえん,,1750
江戸,宝暦,ほうれき,,1763
江戸,明和,めいわ,,1771
江戸,安永,あんえい,,1780
江戸,天明,てんめい,,1788
江戸,寛政,かんせい,,1800
江戸,享和,きょうわ,,1803
江戸,文化,ぶんか,,1817
江戸,文政,ぶんせい,,1829
江戸,天保,てんぽう,,1843
江戸,弘化,こうか,,1847
江戸,嘉永,かえい,,1853
江戸,安政,あんせい,,1859
江戸,万延,まんえん,,
江戸,文久,ぶんきゅう,,1863
江戸,元治,げんじ,,
江戸,慶応,けいおう,,1867
近代,明治,めいじ,,1912
近代,大正,たいしょう,,1926
近代,昭和,しょうわ,,1988
近代,平成,へいせい,,2019
近代,令和,れいわ,2019,
