Grid,Japanese (Kanji),Japanese (Hiragana),Romanized Japanese,Longitude,Latitude,Classification
6644,網走川,あばしりがわ,Abashiri Gawa,144゜ 14’,44゜ 00’,River
6544,網走湖,あばしりこ,Abashiri Ko,144゜ 10’,43゜ 58’,Lake
6644,網走市,あばしりし,Abashiri Shi,144゜ 16’,44゜ 01’,Municipality
5238,安倍川,あべかわ,Abe Kawa,138゜ 21’,35゜ 03’,River
5340,我孫子市,あびこし,Abiko Shi,140゜ 01’,35゜ 51’,Municipality
6441,安平町,あびらちょう,Abira Cho,141゜ 49’,42゜ 45’,Municipality
6441,安平川,あびらがわ,Abira Gawa,141゜ 49’,42゜ 47’,River
5437,安房峠,あぼうとうげ,Abo Toge,137゜ 34’,36゜ 11’,Pass
5131,阿武町,あぶちょう,Abu Cho,131゜ 28’,34゜ 30’,Municipality
5131,阿武川,あぶがわ,Abu Gawa,131゜ 25’,34゜ 23’,River
5740,阿武隈川,あぶくまがわ,Abukuma Gawa,140゜ 55’,38゜ 02’,River
5640,阿武隈高地,あぶくまこうち,Abukuma Kochi,140゜ 45’,37゜ 46’,Extensive natural featur
5337,阿智村,あちむら,Achi Mura,137゜ 44’,35゜ 26’,Municipality
5030,足立山,あだちやま,Adachi Yama,130゜ 54’,33゜ 51’,Mountain
5640,安達太良山,あだたらやま,Adatara Yama,140゜ 17’,37゜ 37’,Mountain
5335,安曇川,あどがわ,Ado Gawa,135゜ 58’,35゜ 21’,River
5639,阿賀町,あがまち,Aga Machi,139゜ 27’,37゜ 40’,Municipality
5639,阿賀野川,あがのがわ,Agano Gawa,139゜ 07’,37゜ 58’,River
5639,阿賀野市,あがのし,Agano Shi,139゜ 13’,37゜ 50’,Municipality
5438,吾妻川,あがつまがわ,Agatsuma Gawa,138゜ 55’,36゜ 32’,River
5337,上松町,あげまつまち,Agematsu Machi,137゜ 41’,35゜ 47’,Municipality
5339,上尾市,あげおし,Ageo Shi,139゜ 35’,35゜ 58’,Municipality
5236,阿久比町,あぐいちょう,Agui Cho,136゜ 54’,34゜ 55’,Municipality
3927,粟国島,あぐにじま,Aguni Jima,127゜ 13’,26゜ 36’,Island
3927,粟国村,あぐにそん,Aguni Son,127゜ 13’,26゜ 34’,Municipality
5131,相島,あいしま,Ai Shima,131゜ 16’,34゜ 30’,Island
6542,愛別町,あいべつちょう,Aibetsu Cho,142゜ 34’,43゜ 54’,Municipality
5236,愛知県,あいちけん,Aichi Ken,136゜ 54’,35゜ 10’,Municipality
5237,愛知用水,あいちようすい,Aichi Yosui,137゜ 03’,35゜ 09’,River
5738,相川,あいかわ,Aikawa,138゜ 14’,38゜ 02’,Populated area
5339,愛川町,あいかわまち,Aikawa Machi,139゜ 19’,35゜ 31’,Municipality
4932,愛南町,あいなんちょう,Ainan Cho,132゜ 35’,32゜ 57’,Municipality
4929,相ノ島,あいのしま,Ainoshima,129゜ 10’,32゜ 55’,Island
5030,相ノ島,あいのしま,Ainoshima,130゜ 21’,33゜ 45’,Island
5234,相生市,あいおいし,Aioi Shi,134゜ 28’,34゜ 48’,Municipality
4730,姶良町,あいらちょう,Aira Cho,130゜ 37’,31゜ 43’,Municipality
5236,愛西市,あいさいし,Aisai Shi,136゜ 43’,35゜ 09’,Municipality
6040,相坂川（奥入瀬川）,あいさかがわ（おいらせがわ）,Aisaka Gawa (Oirase Gawa),140゜ 58’,40゜ 31’,River
5236,愛荘町,あいしょうちょう,Aisho Cho,136゜ 12’,35゜ 10’,Municipality
5539,会津朝日岳,あいづあさひだけ,Aizuasahi Dake,139゜ 19’,37゜ 13’,Mountain
5639,会津坂下町,あいづばんげまち,Aizubange Machi,139゜ 49’,37゜ 33’,Municipality
5134,藍住町,あいずみちょう,Aizumi Cho,134゜ 29’,34゜ 07’,Municipality
5639,会津美里町,あいづみさとまち,Aizumisato Machi,139゜ 50’,37゜ 27’,Municipality
5639,会津若松市,あいづわかまつし,Aizuwakamatsu Shi,139゜ 55’,37゜ 29’,Municipality
5741,網地島,あじしま,Aji Shima,141゜ 28’,38゜ 15’,Island
6140,鰺ケ沢町,あじがさわまち,Ajigasawa Machi,140゜ 12’,40゜ 46’,Municipality
5239,網代,あじろ,Ajiro,139゜ 05’,35゜ 02’,Populated area
3927,阿嘉島,あかじま,Aka Jima,127゜ 15’,26゜ 11’,Island
6542,赤平市,あかびらし,Akabira Shi,142゜ 02’,43゜ 33’,Municipality
5338,赤岳,あかだけ,Akadake,138゜ 21’,35゜ 58’,Mountain
5638,赤泊,あかどまり,Akadomari,138゜ 24’,37゜ 52’,Populated area
5839,赤川,あかがわ,Akagawa,139゜ 46’,38゜ 50’,River
5439,赤城山,あかぎさん,Akagi San,139゜ 09’,36゜ 33’,Mountain
6440,赤井川村,あかいがわむら,Akaigawa Mura,140゜ 48’,43゜ 05’,Municipality
5338,赤石岳,あかいしだけ,Akaishi Dake,138゜ 08’,35゜ 27’,Mountain
6140,赤石川,あかいしがわ,Akaishi Gawa,140゜ 09’,40゜ 45’,River
5338,赤石山脈,あかいしさんみゃく,Akaishi Sanmyaku,138゜ 08’,35゜ 32’,Extensive natural featur
5234,赤磐市,あかいわし,Akaiwa Shi,134゜ 01’,34゜ 45’,Municipality
5030,赤村,あかむら,Akamura,130゜ 52’,33゜ 36’,Municipality
6543,阿寒富士,あかんふじ,Akan Fuji,143゜ 59’,43゜ 22’,Mountain
6444,阿寒川,あかんがわ,Akan Gawa,144゜ 16’,42゜ 59’,River
6544,阿寒湖,あかんこ,Akan Ko,144゜ 05’,43゜ 27’,Lake
6544,阿寒湖畔,あかんこはん,Akankohan,144゜ 05’,43゜ 25’,Populated area
5135,明石海峡,あかしかいきょう,Akashi Kaikyo,135゜ 01’,34゜ 36’,Sea Area
5134,明石市,あかしし,Akashi Shi,134゜ 59’,34゜ 38’,Municipality
4828,赤島,あかしま,Akashima,128゜ 55’,32゜ 35’,Island
4928,赤島,あかしま,Akashima,128゜ 58’,33゜ 11’,Island
4932,明浜,あけはま,Akehama,132゜ 25’,33゜ 19’,Populated area
5033,安芸川,あきがわ,Aki Gawa,133゜ 54’,33゜ 29’,River
5339,秋川,あきがわ,Aki Gawa,139゜ 16’,35゜ 42’,River
5132,安芸灘,あきなだ,Aki Nada,132゜ 40’,34゜ 07’,Sea Area
5033,安芸市,あきし,Aki Shi,133゜ 54’,33゜ 30’,Municipality
5237,秋葉山,あきはさん,Akiha San,137゜ 51’,34゜ 58’,Mountain
,秋の七草海山群,あきのななくさかいざんぐん,Akinonanakusa Kaizangun,147゜ 50’,28゜ 10’,Undersea feature
5132,安芸太田町,あきおおたちょう,Akiota Cho,132゜ 13’,34゜ 34’,Municipality
5339,あきる野市,あきるのし,Akiruno Shi,139゜ 17’,35゜ 43’,Municipality
5339,昭島市,あきしまし,Akishima Shi,139゜ 21’,35゜ 42’,Municipality
5940,秋田県,あきたけん,Akita Ken,140゜ 06’,39゜ 43’,Municipality
5940,秋田市,あきたし,Akita Shi,140゜ 06’,39゜ 43’,Municipality
5132,安芸高田市,あきたかたし,Aki-takata Shi,132゜ 42’,34゜ 39’,Municipality
5131,秋吉台,あきよしだい,Akiyoshi Dai,131゜ 17’,34゜ 15’,Extensive natural featur
